sexe;preusuel;annais;nombre
1;ABBES;1992;4
1;ABDALLAH;2011;187
1;ABDEL-HALIM;1980;3
1;ABDEL-MALEK;2015;3
1;ABDELALI;1997;6
1;ABDELGHANI;2006;8
1;ABDELHALIM;1999;6
1;ABDELKADER;1983;262
1;ABDELLATIF;1980;24
1;ABDELMALIK;1997;13
1;ABDELRAHMAN;2011;27
1;ABDELWAHID;1994;5
1;ABDERAHMANE;1985;6
1;ABDERRAHMEN;2010;6
1;ABDESSLAM;1984;3
1;ABDOUL-AZIZ;2002;4
1;ABDOURAHMANE;2005;10
1;ABDULRAHMAN;2006;3
1;ABID;1979;3
1;ABOUBAKAR;2012;48
1;ABRAM;2000;3
1;ACHOUR;2008;8
1;ADAMA;2002;60
1;ADELAIDE;1916;3
1;ADEN;1998;3
1;ADITYA;2006;4
1;ADOLFO;1978;5
1;ADRIANN;2017;6
1;AGENOR;1921;10
1;AHMED;1983;334
1;AIMABLE;1945;4
1;AIMENE;2011;3
1;AISSA;1992;42
1;AKIM;1973;135
1;AKSEL;2015;131
1;ALAIN;1938;3076
1;ALARIC;1998;12
1;ALBERIC;1918;11
1;ALBERTO;1982;24
1;ALCIDE;1926;57
1;ALDO;1999;8
1;ALEJANDRO;2017;24
1;ALESIO;2017;5
1;ALEXANDER;1987;32
1;ALEXEY;2018;4
1;ALEXYS;2011;20
1;ALFREDO;1976;18
1;ALICE;1998;3
1;ALIOUNE;2005;9
1;ALLAIN;1956;37
1;ALMANZO;2010;7
1;ALONSO;1931;4
1;ALPAY;1999;5
1;ALRIC;1984;4
1;ALVYN;1999;9
1;AMADOR;1934;5
1;AMAND;1985;3
1;AMAURY;1917;4
1;AMBROISE;2014;126
1;AMILCAR;1975;12
1;AMMAR;1990;8
1;AMRANE;2009;6
1;ANAKINE;2010;6
1;ANATOLE;1911;72
1;ANDGEL;2004;10
1;ANDRES;1972;28
1;ANDRÉ;1937;12648
1;ANDY;1979;78
1;ANGE-MARIE;1979;3
1;ANGELINO;1959;5
1;ANGY;2003;14
1;ANICK;1959;3
1;ANNE;1945;5
1;ANSELME;1930;31
1;ANTHIME;2017;32
1;ANTIME;1911;3
1;ANTONI;1909;3
1;ANTONINO;1989;7
1;ANTONY;1998;313
1;AOMAR;1983;3
1;ARAS;2012;14
1;ARESKI;1967;3
1;ARIEL;1974;4
1;ARISTIDE;1938;44
1;ARMAND;1908;1319
1;ARMEL;1966;67
1;ARNAUD;2011;172
1;ARNOLD;1987;50
1;ARRON;2006;5
1;ARTHAUD;2004;5
1;ARTURO;2012;4
1;ATAKAN;1992;3
1;ATILIO;2013;6
1;AUBERT;1944;5
1;AUDREN;1991;3
1;AUGUSTE;2000;72
1;AURELE;1989;22
1;AURÉLIEN;1981;3271
1;AVIT;1944;3
1;AXIL;2013;7
1;AYHAN;1992;10
1;AYMARD;1995;3
1;AYOUB;1961;3
1;AZAD;1986;4
1;AZER;2011;5
1;AZZEDINE;1986;42
1;BABACAR;1992;11
1;BADIS;2015;96
1;BAFODE;2012;7
1;BALLA;1985;5
1;BAO;2011;14
1;BARBE;1915;3
1;BARTHELEMY;1914;139
1;BASILE;1910;61
1;BASTIAN;1995;53
1;BAUDOIN;1974;4
1;BAZILE;1944;6
1;BELGACEM;1986;9
1;BENAMAR;1956;6
1;BENITO;2002;3
1;BENOIT;1991;3
1;BERANGER;1920;3
1;BERNADIN;1935;3
1;BERND;1949;3
1;BERTRAN;1986;3
1;BILHAL;1997;4
1;BIXENTE;1998;23
1;BOB;1981;7
1;BONAVENTURE;1912;15
1;BORIS;2015;36
1;BOUBAKARY;1986;3
1;BOUMEDIENE;1983;11
1;BRADLEY;1960;3
1;BRANKO;1968;5
1;BREWEN;2006;28
1;BRIEC;2004;3
1;BRUCE;1977;84
1;BRYANN;2009;11
1;BÉRANGER;1988;3
1;CALIXTE;2013;49
1;CAMERON;2018;215
1;CAMRONN;2018;5
1;CARL;1979;72
1;CARLOS;1990;35
1;CAROL;1947;8
1;CASSIEL;2013;4
1;CECILIO;1923;3
1;CELESTE;2001;4
1;CELLOU;2010;4
1;CESAIRE;1962;7
1;CHABANE;1999;4
1;CHAHINE;2009;118
1;CHARBEL;2007;4
1;CHARLES;1970;701
1;CHARLES-ELIE;1994;5
1;CHARLES-MARIE;2008;3
1;CHARLOT;1937;18
1;CHEICK;1981;4
1;CHEMS;2002;4
1;CHIHAB;1977;4
1;CHRETIEN;1933;9
1;CHRISTIAN;1933;2212
1;CHRISTOPHE;1946;96
1;CHÉRIF;1974;9
1;CLAIR;1918;13
1;CLAUDE;1978;579
1;CLAUDIUS;1911;380
1;CLEO;1919;3
1;CLODOMIR;1921;6
1;CLYDE;1976;4
1;COLBERT;1924;19
1;COME;1929;5
1;CONSTANT;1955;46
1;CORENTIN;1919;66
1;CORWIN;2005;3
1;CREPIN;1952;9
1;CURT;1907;19
1;CYR;1905;11
1;CYRIEL;1982;3
1;CYRIUS;2012;3
1;CÉLIEN;2014;10
1;DALE;1963;7
1;DAMIEN;1922;36
1;DANAEL;1991;3
1;DANIELE;2015;3
1;DANTE;1909;8
1;DAOUD;1969;8
1;DARIO;1955;21
1;DARREN;2000;31
1;DAVIS;1986;3
1;DAYANE;2018;5
1;DEJAN;1968;10
1;DEMBA;2018;47
1;DENYS;2013;8
1;DESMOND;2014;7
1;DEWI;2005;8
1;DIANGO;2004;4
1;DIEGUE;1927;6
1;DIMITRI;1960;19
1;DINO;1992;9
1;DIÉGO;1998;8
1;DJAMAL;1991;10
1;DJILALI;1981;30
1;DJÉMY;2013;8
1;DOMINGO;1953;3
1;DON;1906;31
1;DONAT;2014;5
1;DONOVAN;2008;258
1;DOROTHEE;1914;4
1;DRAGAN;1969;17
1;DRISSE;1983;7
1;DURSUN;2003;5
1;DYLANN;1990;4
1;EARVIN;1999;3
1;EDDY;1961;116
1;EDGAR;1994;79
1;EDISON;1986;3
1;EDONIS;2007;3
1;EDUARDO;1969;27
1;EDWIGE;1932;10
1;EFEKAN;2005;5
1;EITAN;2006;8
1;ELANE;2005;3
1;ELI;1987;3
1;ELIARD;1941;3
1;ELIE;2018;283
1;ELIN;1952;5
1;ELIOTT;2001;398
1;ELISIO;2008;6
1;ELLYOT;2018;5
1;ELOIS;1908;3
1;ELPHEGE;1933;3
1;ELVIS;2011;21
1;ELYAS;2004;72
1;ELYSE;1936;3
1;EMERIC;2011;94
1;EMILE;1917;2476
1;EMILIO;1920;8
1;EMRE;2008;103
1;ENDRICK;2014;4
1;ENGUERRAND;1996;64
1;ENOGAT;1917;7
1;ENRIQUE;1994;15
1;EOL;2012;3
