sexe;preusuel;annais;nombre
1;AARON;1907;3
1;AARON;1911;3
1;AARON;1931;3
1;AARON;1935;3
1;AARON;1949;3
1;AARON;1960;3
1;AARON;1962;3
1;AARON;1963;4
1;AARON;1964;4
1;AARON;1965;5
1;AARON;1966;3
1;AARON;1970;4
1;AARON;1975;3
1;AARON;1976;6
1;AARON;1977;3
1;AARON;1979;4
1;AARON;1980;6
1;AARON;1981;10
1;AARON;1982;8
1;AARON;1983;8
1;AARON;1984;8
1;AARON;1985;11
1;AARON;1986;10
1;AARON;1987;15
1;AARON;1988;16
1;AARON;1989;14
1;AARON;1990;24
1;AARON;1991;19
1;AARON;1992;30
1;AARON;1993;18
1;AARON;1994;26
1;AARON;1995;43
1;AARON;1996;34
1;AARON;1997;72
1;AARON;1998;77
1;AARON;1999;93
1;AARON;2000;118
1;AARON;2001;135
1;AARON;2002;131
1;AARON;2003;136
1;AARON;2004;335
1;AARON;2005;439
1;AARON;2006;598
1;AARON;2007;910
1;AARON;2008;1380
1;AARON;2009;1355
1;AARON;2010;1606
1;AARON;2011;1763
1;AARON;2012;1726
1;AARON;2013;1907
1;AARON;2014;2053
1;AARON;2015;2156
1;AARON;2016;2369
1;AARON;2017;2382
1;AARON;2018;2249
1;ABDALLAH;1947;4
1;ABDALLAH;1948;6
1;ABDALLAH;1949;10
1;ABDALLAH;1950;7
1;ABDALLAH;1951;8
1;ABDALLAH;1952;12
1;ABDALLAH;1953;17
1;ABDALLAH;1954;20
1;ABDALLAH;1955;24
1;ABDALLAH;1956;20
1;ABDALLAH;1957;25
1;ABDALLAH;1958;26
1;ABDALLAH;1959;29
1;ABDALLAH;1960;35
1;ABDALLAH;1961;41
1;ABDALLAH;1962;50
1;ABDALLAH;1963;47
1;ABDALLAH;1964;56
1;ABDALLAH;1965;63
1;ABDALLAH;1966;66
1;ABDALLAH;1967;63
1;ABDALLAH;1968;56
1;ABDALLAH;1969;58
1;ABDALLAH;1970;68
1;ABDALLAH;1971;57
1;ABDALLAH;1972;52
1;ABDALLAH;1973;68
1;ABDALLAH;1974;51
1;ABDALLAH;1975;64
1;ABDALLAH;1976;52
1;ABDALLAH;1977;48
1;ABDALLAH;1978;34
1;ABDALLAH;1979;38
1;ABDALLAH;1980;49
1;ABDALLAH;1981;49
1;ABDALLAH;1982;67
1;ABDALLAH;1983;43
1;ABDALLAH;1984;55
1;ABDALLAH;1985;48
1;ABDALLAH;1986;45
1;ABDALLAH;1987;46
1;ABDALLAH;1988;43
1;ABDALLAH;1989;52
1;ABDALLAH;1990;35
1;ABDALLAH;1991;34
1;ABDALLAH;1992;34
1;ABDALLAH;1993;43
1;ABDALLAH;1994;35
1;ABDALLAH;1995;34
1;ABDALLAH;1996;34
1;ABDALLAH;1997;41
1;ABDALLAH;1998;48
1;ABDALLAH;1999;72
1;ABDALLAH;2000;68
1;ABDALLAH;2001;70
1;ABDALLAH;2002;93
1;ABDALLAH;2003;103
1;ABDALLAH;2004;107
1;ABDALLAH;2005;137
1;ABDALLAH;2006;134
1;ABDALLAH;2007;134
1;ABDALLAH;2008;168
1;ABDALLAH;2009;166
1;ABDALLAH;2010;184
1;ABDALLAH;2011;187
1;ABDALLAH;2012;203
1;ABDALLAH;2013;251
1;ABDALLAH;2014;265
1;ABDALLAH;2015;302
1;ABDALLAH;2016;258
1;ABDALLAH;2017;247
1;ABDALLAH;2018;237
1;ABDELKADER;1946;5
1;ABDELKADER;1947;3
1;ABDELKADER;1948;8
1;ABDELKADER;1949;9
1;ABDELKADER;1950;13
1;ABDELKADER;1951;13
1;ABDELKADER;1952;14
1;ABDELKADER;1953;30
1;ABDELKADER;1954;52
1;ABDELKADER;1955;52
1;ABDELKADER;1956;70
1;ABDELKADER;1957;72
1;ABDELKADER;1958;72
1;ABDELKADER;1959;84
1;ABDELKADER;1960;122
1;ABDELKADER;1961;130
1;ABDELKADER;1962;147
1;ABDELKADER;1963;189
1;ABDELKADER;1964;221
1;ABDELKADER;1965;227
1;ABDELKADER;1966;263
1;ABDELKADER;1967;291
1;ABDELKADER;1968;304
1;ABDELKADER;1969;276
1;ABDELKADER;1970;274
1;ABDELKADER;1971;343
1;ABDELKADER;1972;316
1;ABDELKADER;1973;300
1;ABDELKADER;1974;297
1;ABDELKADER;1975;301
1;ABDELKADER;1976;273
1;ABDELKADER;1977;233
1;ABDELKADER;1978;280
1;ABDELKADER;1979;250
1;ABDELKADER;1980;232
1;ABDELKADER;1981;260
1;ABDELKADER;1982;249
1;ABDELKADER;1983;262
1;ABDELKADER;1984;217
1;ABDELKADER;1985;212
1;ABDELKADER;1986;148
1;ABDELKADER;1987;169
1;ABDELKADER;1988;121
1;ABDELKADER;1989;109
1;ABDELKADER;1990;110
1;ABDELKADER;1991;98
1;ABDELKADER;1992;108
1;ABDELKADER;1993;105
1;ABDELKADER;1994;90
1;ABDELKADER;1995;95
1;ABDELKADER;1996;71
1;ABDELKADER;1997;85
1;ABDELKADER;1998;87
1;ABDELKADER;1999;75
1;ABDELKADER;2000;97
1;ABDELKADER;2001;98
1;ABDELKADER;2002;102
1;ABDELKADER;2003;106
1;ABDELKADER;2004;93
1;ABDELKADER;2005;88
1;ABDELKADER;2006;82
1;ABDELKADER;2007;100
1;ABDELKADER;2008;100
1;ABDELKADER;2009;87
1;ABDELKADER;2010;72
1;ABDELKADER;2011;75
1;ABDELKADER;2012;65
1;ABDELKADER;2013;56
1;ABDELKADER;2014;74
1;ABDELKADER;2015;62
1;ABDELKADER;2016;59
1;ABDELKADER;2017;51
1;ABDELKADER;2018;66
1;ABEL;1900;428
1;ABEL;1901;506
1;ABEL;1902;519
1;ABEL;1903;499
1;ABEL;1904;476
1;ABEL;1905;522
1;ABEL;1906;510
1;ABEL;1907;538
1;ABEL;1908;522
1;ABEL;1909;572
1;ABEL;1910;523
1;ABEL;1911;490
1;ABEL;1912;503
1;ABEL;1913;526
1;ABEL;1914;463
1;ABEL;1915;305
1;ABEL;1916;215
1;ABEL;1917;248
1;ABEL;1918;280
1;ABEL;1919;325
1;ABEL;1920;483
1;ABEL;1921;505
1;ABEL;1922;470
1;ABEL;1923;428
1;ABEL;1924;422
1;ABEL;1925;416
1;ABEL;1926;370
1;ABEL;1927;407
1;ABEL;1928;305
1;ABEL;1929;347
1;ABEL;1930;322
1;ABEL;1931;311
1;ABEL;1932;274
1;ABEL;1933;266
1;ABEL;1934;222
1;ABEL;1935;216
1;ABEL;1936;190
1;ABEL;1937;206
1;ABEL;1938;181
1;ABEL;1939;168
1;ABEL;1940;134
1;ABEL;1941;113
1;ABEL;1942;107
1;ABEL;1943;87
1;ABEL;1944;102
1;ABEL;1945;107
1;ABEL;1946;126
1;ABEL;1947;120
1;ABEL;1948;108
1;ABEL;1949;108
1;ABEL;1950;100
1;ABEL;1951;67
1;ABEL;1952;75
1;ABEL;1953;72
1;ABEL;1954;47
1;ABEL;1955;49
1;ABEL;1956;47
1;ABEL;1957;55
1;ABEL;1958;57
1;ABEL;1959;52
1;ABEL;1960;53
1;ABEL;1961;56
1;ABEL;1962;43
1;ABEL;1963;38
1;ABEL;1964;36
1;ABEL;1965;43
1;ABEL;1966;37
1;ABEL;1967;43
1;ABEL;1968;62
1;ABEL;1969;54
1;ABEL;1970;63
1;ABEL;1971;61
1;ABEL;1972;51
1;ABEL;1973;43
1;ABEL;1974;42
1;ABEL;1975;44
1;ABEL;1976;33
1;ABEL;1977;32
1;ABEL;1978;34
1;ABEL;1979;39
1;ABEL;1980;42
1;ABEL;1981;38
1;ABEL;1982;35
1;ABEL;1983;30
1;ABEL;1984;40
1;ABEL;1985;37
1;ABEL;1986;44
1;ABEL;1987;37
1;ABEL;1988;41
1;ABEL;1989;38
1;ABEL;1990;40
1;ABEL;1991;52
1;ABEL;1992;53
1;ABEL;1993;40
1;ABEL;1994;61
1;ABEL;1995;65
1;ABEL;1996;74
1;ABEL;1997;72
1;ABEL;1998;90
1;ABEL;1999;108
1;ABEL;2000;148
1;ABEL;2001;131
1;ABEL;2002;123
1;ABEL;2003;138
1;ABEL;2004;132
1;ABEL;2005;167
1;ABEL;2006;198
1;ABEL;2007;231
1;ABEL;2008;218
1;ABEL;2009;271
1;ABEL;2010;298
1;ABEL;2011;303
1;ABEL;2012;398
1;ABEL;2013;432
1;ABEL;2014;451
1;ABEL;2015;500
1;ABEL;2016;512
1;ABEL;2017;541
1;ABEL;2018;550
1;ACHILLE;1900;205
1;ACHILLE;1901;256
1;ACHILLE;1902;251
1;ACHILLE;1903;234
1;ACHILLE;1904;226
1;ACHILLE;1905;234
1;ACHILLE;1906;261
1;ACHILLE;1907;215
1;ACHILLE;1908;265
1;ACHILLE;1909;243
1;ACHILLE;1910;268
1;ACHILLE;1911;215
1;ACHILLE;1912;227
1;ACHILLE;1913;177
1;ACHILLE;1914;205
1;ACHILLE;1915;159
1;ACHILLE;1916;106
1;ACHILLE;1917;113
1;ACHILLE;1918;127
1;ACHILLE;1919;140
1;ACHILLE;1920;266
1;ACHILLE;1921;216
1;ACHILLE;1922;193
1;ACHILLE;1923;165
1;ACHILLE;1924;154
1;ACHILLE;1925;158
1;ACHILLE;1926;140
1;ACHILLE;1927;127
1;ACHILLE;1928;149
1;ACHILLE;1929;127
1;ACHILLE;1930;117
1;ACHILLE;1931;121
1;ACHILLE;1932;116
1;ACHILLE;1933;101
1;ACHILLE;1934;95
1;ACHILLE;1935;80
1;ACHILLE;1936;88
1;ACHILLE;1937;78
1;ACHILLE;1938;63
1;ACHILLE;1939;79
1;ACHILLE;1940;45
1;ACHILLE;1941;34
1;ACHILLE;1942;40
1;ACHILLE;1943;36
1;ACHILLE;1944;28
1;ACHILLE;1945;29
1;ACHILLE;1946;37
1;ACHILLE;1947;40
1;ACHILLE;1948;51
1;ACHILLE;1949;46
1;ACHILLE;1950;36
1;ACHILLE;1951;48
1;ACHILLE;1952;33
1;ACHILLE;1953;41
1;ACHILLE;1954;37
1;ACHILLE;1955;35
1;ACHILLE;1956;30
1;ACHILLE;1957;27
1;ACHILLE;1958;17
1;ACHILLE;1959;24
1;ACHILLE;1960;24
1;ACHILLE;1961;17
1;ACHILLE;1962;17
1;ACHILLE;1963;8
1;ACHILLE;1964;27
1;ACHILLE;1965;26
1;ACHILLE;1966;27
1;ACHILLE;1967;19
1;ACHILLE;1968;8
1;ACHILLE;1969;7
1;ACHILLE;1970;12
1;ACHILLE;1971;21
1;ACHILLE;1972;11
1;ACHILLE;1973;11
1;ACHILLE;1974;9
1;ACHILLE;1975;7
1;ACHILLE;1976;11
1;ACHILLE;1977;6
1;ACHILLE;1978;7
1;ACHILLE;1979;13
1;ACHILLE;1980;16
